tempo,posizione,velocita,input
1.158129175946547962e+00,-1.699314659030826472e-02,-7.076306021434564109e-01,-3.981485268416646850e+00
1.202672605790645832e+00,-4.176105149163111818e-02,-4.083120072226339436e-01,-3.985235301529081120e+00
1.247216035634743925e+00,-5.523593664104874817e-02,-1.992427957758973744e-01,-3.540347342338797443e+00
1.291759465478841795e+00,-5.973141603654868320e-02,-9.685396361794270520e-03,-2.791644205615009255e+00
1.336302895322939888e+00,-5.700268036425343299e-02,1.249567125628985031e-01,-1.947369534270023461e+00
1.380846325167037758e+00,-4.930366397771182574e-02,2.277757254186165703e-01,-1.224281950654457551e+00
1.425389755011135851e+00,-3.812075741220728731e-02,2.735596712087094429e-01,-7.912156689855902592e-01
1.469933184855233943e+00,-2.598407264357563765e-02,2.606800330376115027e-01,-7.263906201759722236e-01
1.514476614699331813e+00,-1.516968782732205055e-02,2.190179194259169182e-01,-9.998969411458955570e-01
1.559020044543429906e+00,-6.559406613075301727e-03,1.622691570649488768e-01,-1.485747998663169422e+00
1.603563474387527776e+00,-3.392653765840416722e-04,1.100878454979410392e-01,-1.999689577129845963e+00
1.648106904231625869e+00,3.205185095151369574e-03,4.286848428348505324e-02,-2.351894142696774992e+00
1.692650334075723739e+00,3.452189394679921596e-03,-2.984765525256631927e-02,-2.399741174146596379e+00
1.737193763919821832e+00,1.006662201579716642e-03,-7.656774743854416476e-02,-2.086162544480393954e+00
1.781737193763919702e+00,-2.618835466249582692e-03,-8.755225469634750346e-02,-1.453380673918792665e+00
1.826280623608017795e+00,-6.120889457672222186e-03,-7.128382450380615909e-02,-6.289900680874185301e-01
1.870824053452115887e+00,-8.457568336581681306e-03,-3.269134090600113451e-02,2.108438152891891626e-01
1.915367483296213758e+00,-8.670088911521288411e-03,2.160058937721647671e-02,8.900153378773639767e-01
1.959910913140311850e+00,-6.366080181831261509e-03,8.565245869270272927e-02,1.278916408534641835e+00
2.004454342984409720e+00,-1.395091154424915126e-03,1.310049688396500156e-01,1.325778957119529533e+00
2.048997772828507813e+00,5.153527624195572594e-03,1.591114935970593391e-01,1.064813163057032552e+00
2.093541202672605905e+00,1.249569419380666506e-02,1.572997821676735963e-01,6.000210497423337230e-01
2.138084632516703998e+00,1.867095614396457187e-02,1.201774302179024895e-01,7.065812415782157796e-02
2.182628062360801646e+00,2.263335958059857489e-02,4.708317927107388140e-02,-3.905697179361604654e-01
2.227171492204899739e+00,2.310295271292293895e-02,-2.764077675660795916e-02,-6.938132507929716253e-01
2.271714922048997831e+00,2.030607361566092936e-02,-1.009624348198447374e-01,-8.123160133350777468e-01
2.316258351893095924e+00,1.454873600470519938e-02,-1.612752799192047060e-01,-7.813131145360940888e-01
2.360801781737193572e+00,6.153981871839201735e-03,-2.040983331197271100e-01,-6.770983479585236386e-01
2.405345211581291665e+00,-2.846328571343554898e-03,-1.953719724615662900e-01,-5.839227361436807318e-01
2.449888641425389757e+00,-1.113310382214359982e-02,-1.635357928233187041e-01,-5.600604303917311455e-01
2.494432071269487849e+00,-1.728121152757487039e-02,-1.108213228224823321e-01,-6.144634418176119217e-01
2.538975501113585942e+00,-2.110982662946893351e-02,-5.900957256996657019e-02,-7.019187202433081474e-01
2.583518930957683590e+00,-2.263850739284480051e-02,-9.733776094264210560e-03,-7.386089283008999695e-01
2.628062360801781683e+00,-2.208188223582198753e-02,3.151436371312058005e-02,-6.333173754003880163e-01
2.672605790645879775e+00,-1.999373932991680217e-02,5.986946226540838800e-02,-3.242700013995047925e-01
2.717149220489977868e+00,-1.712394121304837424e-02,6.452460081515373758e-02,1.905815200723852687e-01
2.761692650334075516e+00,-1.463804891575784528e-02,4.699188574915563049e-02,8.404332160237150129e-01
2.806236080178173609e+00,-1.333812347205118320e-02,1.501311561879397662e-02,1.491287874120669876e+00
2.850779510022271701e+00,-1.307118851025060313e-02,-2.892104675561421850e-03,1.977138044785494708e+00
2.895322939866369794e+00,-1.340022064347204563e-02,-1.100367388058322120e-02,2.144654058300612398e+00
2.939866369710467886e+00,-1.386332843376780928e-02,-7.369102582504646719e-03,1.898788508601980229e+00
2.984409799554565534e+00,-1.398051312951999886e-02,2.020839689629645892e-03,1.235764190722517863e+00
3.028953229398663627e+00,-1.354750511473141149e-02,1.560843752462268662e-02,2.529761933472782776e-01
3.073496659242761719e+00,-1.263186159427331229e-02,2.557152453908894882e-02,-8.683904246004614524e-01
3.118040089086859812e+00,-1.140820563294376970e-02,3.121279370570519476e-02,-1.904514020098625693e+00
3.162583518930957460e+00,-1.011644971020531081e-02,2.507215658490213536e-02,-2.643417972332549493e+00
3.207126948775055553e+00,-9.163656467094194111e-03,1.435554958341799837e-02,-2.938224945264136245e+00
3.251670378619153645e+00,-8.968428683134426274e-03,-4.877728412402979399e-03,-2.744579137437404448e+00
3.296213808463251738e+00,-9.488480726466368489e-03,-1.890340323851385715e-02,-2.131732409369789139e+00
3.340757238307349830e+00,-1.043273837384231344e-02,-2.271386881399536581e-02,-1.263928131481710126e+00
3.385300668151447478e+00,-1.135393257933876333e-02,-1.588589068484509703e-02,-3.568927214091875966e-01
3.429844097995545571e+00,-1.177395446650085845e-02,-2.170389934624147171e-03,3.788557011639250849e-01
3.474387527839643663e+00,-1.143618241708274294e-02,1.682588834514386553e-02,7.925137424481868420e-01
3.518930957683741756e+00,-1.042731976746180331e-02,2.847553834342264611e-02,8.305758445973902004e-01
3.563474387527839404e+00,-8.919410099246878956e-03,4.095562615005268747e-02,5.474983246296232231e-01
3.608017817371937497e+00,-7.211136758145299079e-03,3.059891385335363270e-02,8.695770079957551579e-02
3.652561247216035589e+00,-5.931995542537533798e-03,2.232994308394220181e-02,-3.606394007827646853e-01
3.697104677060133682e+00,-5.338284625342996567e-03,3.690674135329931847e-03,-6.122617774554057757e-01
3.741648106904231774e+00,-5.698472200704656453e-03,-1.760004903540697899e-02,-5.428473299692960774e-01
3.786191536748329423e+00,-6.860542708695863134e-03,-3.764801931799507950e-02,-1.185503865091449560e-01
3.830734966592427515e+00,-8.660403638001988591e-03,-4.191905462578679464e-02,5.960377819246291953e-01
3.875278396436525608e+00,-9.917369581313326132e-03,-1.364897440321806606e-02,1.457884735963257850e+00
3.919821826280623700e+00,-9.585953771996140113e-03,3.506054386270930634e-02,2.286263688333269872e+00
3.964365256124721792e+00,-6.924544851830210027e-03,8.762621734384190564e-02,2.912155721986623202e+00
4.008908685968819441e+00,-1.564081289901272194e-03,1.479056371127572822e-01,3.222176079460958409e+00
4.053452115812917533e+00,6.019448357873727340e-03,1.953547746464777135e-01,3.184957922218460524e+00
4.097995545657015626e+00,1.531398252309443264e-02,2.167282579195164705e-01,2.853400454825595123e+00
4.142538975501113718e+00,2.462165743779596433e-02,1.915955724925327286e-01,2.343399783595057961e+00
4.187082405345211811e+00,3.205287422248203483e-02,1.345558289284304321e-01,1.796482590516325306e+00
4.231625835189309903e+00,3.666784426330625679e-02,6.515665296598857625e-02,1.338166674791705812e+00
4.276169265033407996e+00,3.741580331963369893e-02,-2.815867593855122045e-02,1.044633513303891093e+00
4.320712694877505200e+00,3.434022627974873260e-02,-1.112867434028045888e-01,9.272721164035222507e-01
4.365256124721603292e+00,2.774219628134321283e-02,-1.828674954253505514e-01,9.388268052380700501e-01
4.409799554565701385e+00,1.885099554875536987e-02,-2.055034399073401852e-01,9.980645285877692841e-01
4.454342984409799477e+00,9.167667783153787484e-03,-2.206734356917436080e-01,1.024155869093303917e+00
4.498886414253897570e+00,5.613686217625322170e-04,-1.692899088701629584e-01,9.690720609770616667e-01
4.543429844097995662e+00,-5.307785014147027060e-03,-8.981979163470679706e-02,8.371014448740448088e-01
4.587973273942093755e+00,-7.957475778392257212e-03,-2.817699064641147194e-02,6.848187359647899264e-01
4.632516703786191847e+00,-7.971001929272370987e-03,2.500370985366398915e-02,6.011896401210121699e-01
4.677060133630289940e+00,-6.019648365129080456e-03,6.120632582386768827e-02,6.740020205368458805e-01
4.721603563474387144e+00,-2.852460670778479875e-03,7.860368222334417065e-02,9.534644141386645622e-01
4.766146993318485237e+00,3.319134127323001920e-04,6.317938809664150335e-02,1.425136326794028019e+00
4.810690423162583329e+00,2.720514465915957990e-03,4.241060086913608224e-02,2.001884791324277213e+00
4.855233853006681422e+00,4.016982709365219881e-03,1.409242004655496608e-02,2.538980164549267560e+00
4.899777282850779514e+00,4.299502367033851413e-03,-1.976493167771761501e-03,2.869389427051892483e+00
4.944320712694877606e+00,3.975858412973038228e-03,-8.918090351605428845e-03,2.849910785555249682e+00
4.988864142538975699e+00,3.601634987525419336e-03,-5.904714872957472944e-03,2.404979914182403089e+00
5.033407572383073791e+00,3.490976388880657946e-03,2.321128863199855338e-03,1.554985068287513039e+00
5.077951002227171884e+00,3.922912455677705391e-03,1.642151985466131642e-02,4.198590671063808233e-01
5.122494432071269088e+00,4.888078329046139855e-03,2.466547970359329878e-02,-8.044890859512543457e-01
5.167037861915367181e+00,5.978128560490862144e-03,2.312088332555066461e-02,-1.891608367316986117e+00
5.211581291759465273e+00,6.779532150403966631e-03,1.108728011030477023e-02,-2.640080948382751203e+00
5.256124721603563366e+00,6.983405122730318784e-03,-2.242753564472212136e-03,-2.924282567519167486e+00
5.300668151447661458e+00,6.390927158988150142e-03,-2.363952008381119130e-02,-2.726336466398416647e+00
5.345211581291759551e+00,5.112309154333994146e-03,-3.405326522613150858e-02,-2.140223525601582910e+00
5.389755011135857643e+00,3.617043914119327883e-03,-3.394755121032203699e-02,-1.346595038153537427e+00
5.434298440979955735e+00,2.146228905280094836e-03,-2.919052260000627730e-02,-5.649166469813922120e-01
5.478841870824053828e+00,1.324295072384312376e-03,-1.071891710578293071e-02,4.139522461996558711e-03
5.523385300668151032e+00,1.206704626541665838e-03,7.697183744839966417e-03,2.304349170932545876e-01
5.567928730512249125e+00,1.956244712442944261e-03,2.741098069942658755e-02,8.627531085900541630e-02
5.612472160356347217e+00,3.416012119282819254e-03,4.006495225629846946e-02,-3.499181966756488293e-01
5.657015590200445310e+00,4.909709837460681479e-03,2.830713931101016059e-02,-9.187212442591279338e-01
5.701559020044543402e+00,5.752671146670539429e-03,7.127780017736397647e-03,-1.426193381623382717e+00
5.746102449888641495e+00,5.426447581868156997e-03,-2.234862776354684666e-02,-1.698542119783613913e+00
5.790645879732739587e+00,3.743862592354920468e-03,-4.743738913739970614e-02,-1.629750404643960149e+00
5.835189309576837680e+00,1.413323880154425003e-03,-5.847418579024041274e-02,-1.209237537217126679e+00
5.879732739420935772e+00,-1.336838816161463632e-03,-5.475585505343963377e-02,-5.224967870525987212e-01
5.924276169265032976e+00,-3.190176363800199030e-03,-2.438748010671778349e-02,2.746107810611551625e-01
5.968819599109131069e+00,-3.213366595903841948e-03,2.475827649363333480e-02,9.998642190284846576e-01
6.013363028953229161e+00,-8.260981369358613496e-04,8.351949641399120106e-02,1.494057250340377951e+00
6.057906458797327254e+00,4.267974230617397474e-03,1.382377369087480767e-01,1.661731164420642504e+00
6.102449888641425346e+00,1.136694883955970126e-02,1.734165119297471913e-01,1.492227574630925702e+00
6.146993318485523439e+00,1.946772790767898817e-02,1.880338239974381487e-01,1.056081874132335674e+00
6.191536748329621531e+00,2.761195615239552675e-02,1.675931359063923820e-01,4.790911830546228378e-01
6.236080178173719624e+00,3.384047175291943210e-02,1.080757429091591254e-01,-9.721139460585981329e-02
6.280623608017817716e+00,3.682907091360666796e-02,1.750819381022293564e-02,-5.563213069553003542e-01
