tempo,angolo,velocita angolare,input
9.019607843137254832e+00,-8.945129734511517938e+00,1.199117479865470770e+01,2.712455457266022663e+00
9.215686274509803155e+00,-7.158663007735388994e+00,6.764438961850054000e+00,-6.363879283736011416e-01
9.411764705882353255e+00,-6.207378830633703437e+00,3.074427061961954699e+00,-1.684500136006336746e+00
9.607843137254901578e+00,-5.862132443560735595e+00,7.828317703050466925e-01,5.304235308409905869e-01
9.803921568627451677e+00,-5.757751695107472756e+00,5.481541405790529842e-01,4.454341430948031366e+00
1.000000000000000000e+01,-5.642616705492692120e+00,3.360073681895613396e-01,1.431757324037246093e-01
1.019607843137254832e+01,-5.819995408284279748e+00,-2.674316069079181180e+00,-1.441670779559496118e+01
1.039215686274509842e+01,-6.790497840671060104e+00,-7.040261435377944466e+00,-2.509070961722110837e+01
1.058823529411764675e+01,-8.379061376268849060e+00,-8.608881095066060141e+00,-2.174825160258385992e+01
1.078431372549019507e+01,-1.007070337009955985e+01,-8.800221089575057221e+00,-1.729014484580242339e+01
1.098039215686274517e+01,-1.200413751547559826e+01,-1.143203759180509138e+01,-3.063820458820415027e+01
1.117647058823529349e+01,-1.469863623058684077e+01,-1.645876699100752205e+01,-5.380500056052866853e+01
1.137254901960784359e+01,-1.867943712608079920e+01,-2.364317159601898766e+01,-5.484028515646404145e+01
1.156862745098039191e+01,-2.319066545147863678e+01,-2.084608416184682866e+01,-2.077738539775350546e+01
1.176470588235294024e+01,-2.626035277395855871e+01,-8.743779144652535251e+00,1.768321392516201485e+01
1.196078431372549034e+01,-2.662790654120810530e+01,3.523837157714513779e+00,1.974815953500936772e+01
1.215686274509803866e+01,-2.572900856726145591e+01,3.288116214577220475e+00,-1.410280811656717859e+01
1.235294117647058876e+01,-2.599397604663835537e+01,-6.540773126357007250e+00,-4.252366038276564097e+01
1.254901960784313708e+01,-2.805581720481867691e+01,-1.336847728060139673e+01,-3.679806795756703508e+01
1.274509803921568540e+01,-3.082441090755574464e+01,-1.368398043895487781e+01,-1.578827680086987328e+01
1.294117647058823550e+01,-3.304532240318773262e+01,-9.089580979984223319e+00,-1.579885589386957001e+01
1.313725490196078383e+01,-3.486467221318446263e+01,-1.115192615943326437e+01,-3.824592869441386256e+01
1.333333333333333393e+01,-3.782970200724442122e+01,-1.855126914374020330e+01,-4.764991540841767659e+01
1.352941176470588225e+01,-4.150258870138537759e+01,-1.768084408565031396e+01,-2.195913834140909415e+01
1.372549019607843057e+01,-4.424918258405369897e+01,-8.763130267519123606e+00,1.464863823815842636e+01
1.392156862745098067e+01,-4.473232352958559233e+01,2.864175692305048315e+00,2.123398601902860960e+01
1.411764705882352899e+01,-4.388929740705275151e+01,3.431672227922009100e+00,-8.169243414651671031e+00
1.431372549019607909e+01,-4.406889210558461656e+01,-5.962342837170941046e+00,-3.839667382932418604e+01
1.450980392156862742e+01,-4.603502946040904931e+01,-1.283280497514772023e+01,-3.752090345349236600e+01
1.470588235294117574e+01,-4.864341812315645086e+01,-1.276894192891258939e+01,-1.218891089412055528e+01
1.490196078431372584e+01,-5.058746850563743180e+01,-6.134881564816801358e+00,7.788995644561397924e+00
1.509803921568627416e+01,-5.104928501516486961e+01,6.861554497935369312e-01,8.887546021164121512e+00
1.529411764705882248e+01,-5.064941610065518063e+01,2.759384091019995822e+00,5.199898353285512975e+00
1.549019607843137258e+01,-5.004238262859201569e+01,3.656148368621272571e+00,1.311706910885484945e+01
1.568627450980392091e+01,-4.906214445745754205e+01,6.671538694822353399e+00,2.763465395176615758e+01
1.588235294117647101e+01,-4.738593701172622019e+01,1.030391116797256856e+01,2.959861732746354335e+01
1.607843137254901933e+01,-4.519335448525860954e+01,1.107562948894397614e+01,1.020506117915539335e+01
1.627450980392156765e+01,-4.361947382913078997e+01,3.614472152256717585e+00,-1.864058136272361210e+01
1.647058823529411598e+01,-4.399171805781899280e+01,-7.098569239965003774e+00,-3.711681472282305094e+01
1.666666666666666785e+01,-4.603239813115224877e+01,-1.258512966558592083e+01,-3.634624404540412002e+01
1.686274509803921617e+01,-4.869841979605180882e+01,-1.429021311990722332e+01,-2.516418929149655881e+01
1.705882352941176450e+01,-5.138233914662915680e+01,-1.241741087554646761e+01,-2.131307924655969543e+01
1.725490196078431282e+01,-5.369264502478375789e+01,-1.243659370292205502e+01,-3.461830199847157985e+01
1.745098039215686114e+01,-5.675965866474034982e+01,-1.907665786110040074e+01,-5.446468412392383129e+01
