tempo,posizione,velocita,input
1.514151415141514079e+01,9.073531248184829590e-03,-1.118156423363948423e-02,5.366391607178766510e-01
1.514351435143514379e+01,9.051155978214899672e-03,-1.119992712085522354e-02,5.349502959034165839e-01
1.514551455145514502e+01,9.028743785304332511e-03,-1.121822256831119489e-02,5.332592908604635307e-01
1.514751475147514803e+01,9.006294765517040141e-03,-1.123644990885631911e-02,5.315661523543854239e-01
1.514951495149514926e+01,8.983809016473994630e-03,-1.125460854092750346e-02,5.298708871590916969e-01
1.515151515151515227e+01,8.961286637353065021e-03,-1.127269792854977346e-02,5.281735020569943151e-01
1.515351535153515350e+01,8.938727728889180393e-03,-1.129071760133614107e-02,5.264740038389924548e-01
1.515551555155515473e+01,8.916132393374187615e-03,-1.130866715448771397e-02,5.247723993044351998e-01
1.515751575157515774e+01,8.893500734656910323e-03,-1.132654624879365565e-02,5.230686952610982265e-01
1.515951595159515897e+01,8.870832858143211375e-03,-1.134435461063112993e-02,5.213628985251617109e-01
1.516151615161516197e+01,8.848128870795850601e-03,-1.136209203196541714e-02,5.196550159211721365e-01
1.516351635163516320e+01,8.825388881134649602e-03,-1.137975837034978233e-02,5.179450542820271952e-01
1.516551655165516621e+01,8.802612999236321747e-03,-1.139735354892560878e-02,5.162330204489361529e-01
1.516751675167516744e+01,8.779801336734643913e-03,-1.141487755642226452e-02,5.145189212714051941e-01
1.516951695169517045e+01,8.756954006820288211e-03,-1.143233044715723581e-02,5.128027636071968987e-01
1.517151715171517168e+01,8.734071124240988526e-03,-1.144971234103599189e-02,5.110845543223160314e-01
1.517351735173517291e+01,8.711152805301391328e-03,-1.146702342355210465e-02,5.093643002909706841e-01
1.517551755175517592e+01,8.688199167863125058e-03,-1.148426394578719485e-02,5.076420083955494045e-01
1.517751775177517715e+01,8.665210331344855646e-03,-1.150143422441088706e-02,5.059176855265986594e-01
1.517951795179518015e+01,8.642186416722145992e-03,-1.151853464168092235e-02,5.041913385827841987e-01
1.518151815181518138e+01,8.619127546527620767e-03,-1.153556564544302651e-02,5.024629744708759560e-01
1.518351835183518439e+01,8.596033844850798147e-03,-1.155252774913104012e-02,5.007326001057078591e-01
1.518551855185518562e+01,8.572905437338256343e-03,-1.156942153176679713e-02,4.990002224101625639e-01
1.518751875187518685e+01,8.549742451193491355e-03,-1.158624763796022375e-02,4.972658483151331521e-01
1.518951895189518986e+01,8.526545015176977688e-03,-1.160300677790929505e-02,4.955294847594998719e-01
1.519151915191519109e+01,8.503313259606229066e-03,-1.161969972740000030e-02,4.937911386901069899e-01
1.519351935193519409e+01,8.480047316355654452e-03,-1.163632732780643490e-02,4.920508170617243215e-01
1.519551955195519533e+01,8.456747318856724580e-03,-1.165289048609068241e-02,4.903085268370315775e-01
1.519751975197519833e+01,8.433413402097803685e-03,-1.166939017480294466e-02,4.885642749865782286e-01
1.519951995199519956e+01,8.410045702624319511e-03,-1.168582743208140817e-02,4.868180684887681298e-01
1.520152015201520079e+01,8.386644358538615854e-03,-1.170220336165235867e-02,4.850699143298205507e-01
1.520352035203520380e+01,8.363209509500009811e-03,-1.171851913283013420e-02,4.833198195037469724e-01
1.520552055205520503e+01,8.339741296724866373e-03,-1.173477598051707663e-02,4.815677910123277727e-01
1.520752075207520804e+01,8.316239862986438830e-03,-1.175097520520363738e-02,4.798138358650732571e-01
1.520952095209520927e+01,8.292705352615043976e-03,-1.176711817296826647e-02,4.780579610792082268e-01
1.521152115211521227e+01,8.269137911497895579e-03,-1.178320631547751483e-02,4.763001736796312335e-01
1.521352135213521350e+01,8.245537687079267444e-03,-1.179924112998593198e-02,4.745404806988990920e-01
1.521552155215521474e+01,8.221904828360347695e-03,-1.181522417933616141e-02,4.727788891771877444e-01
1.521752175217521774e+01,8.198239485899306428e-03,-1.183115709195889723e-02,4.710154061622689459e-01
1.521952195219521897e+01,8.174541811811347758e-03,-1.184704156187283905e-02,4.692500387094865055e-01
1.522152215221522198e+01,8.150811959768574505e-03,-1.186287934868479783e-02,4.674827938817172068e-01
1.522352235223522321e+01,8.127050085000156465e-03,-1.187867227758957964e-02,4.657136787493551533e-01
1.522552255225522622e+01,8.103256344292146529e-03,-1.189442223937009664e-02,4.639427003902709123e-01
1.522752275227522745e+01,8.079430895987668032e-03,-1.191013119039725267e-02,4.621698658897956391e-01
1.522952295229523045e+01,8.055573899986736078e-03,-1.192580115263006460e-02,4.603951823406803867e-01
1.523152315231523168e+01,8.031685517746425806e-03,-1.194143421361554269e-02,4.586186568430800081e-01
1.523352335233523291e+01,8.007765912280733617e-03,-1.195703252648878771e-02,4.568402965045140762e-01
1.523552355235523592e+01,7.983815248160625738e-03,-1.197259830997295105e-02,4.550601084398428475e-01
1.523752375237523715e+01,7.959833691514116294e-03,-1.198813384837920000e-02,4.532780997712436699e-01
1.523952395239524016e+01,7.935821410026107706e-03,-1.200364149160680280e-02,4.514942776281716252e-01
1.524152415241524139e+01,7.911778572938572840e-03,-1.201912365514302278e-02,4.497086491473432646e-01
1.524352435243524440e+01,7.887705351050367658e-03,-1.203458282006323460e-02,4.479212214726956409e-01
1.524552455245524563e+01,7.863601916717420301e-03,-1.205002153303080456e-02,4.461320017553704886e-01
1.524752475247524686e+01,7.839468443852568025e-03,-1.206544240629719121e-02,4.443409971536742553e-01
1.524952495249524986e+01,7.815305107925630060e-03,-1.208084811770190892e-02,4.425482148330543430e-01
1.525152515251525109e+01,7.791112085963463121e-03,-1.209624141067247582e-02,4.407536619660753496e-01
1.525352535253525410e+01,7.766889556549818295e-03,-1.211162509422452141e-02,4.389573457323789341e-01
1.525552555255525533e+01,7.742637699825513642e-03,-1.212700204296167025e-02,4.371592733186681623e-01
1.525752575257525834e+01,7.718356697488255522e-03,-1.214237519707564786e-02,4.353594519186657630e-01
1.525952595259525957e+01,7.694046732792815535e-03,-1.215774756234618351e-02,4.335578887330981401e-01
1.526152615261526080e+01,7.669707990550878735e-03,-1.217312221014109352e-02,4.317545909696555717e-01
1.526352635263526381e+01,7.645340657131110412e-03,-1.218850227741624832e-02,4.299495658429679512e-01
1.526552655265526504e+01,7.620944897985358103e-03,-1.220389078373763751e-02,4.281428205745808069e-01
1.526752675267526804e+01,7.596519368018423389e-03,-1.221927741939455615e-02,4.263343623929151671e-01
1.526952695269526927e+01,7.572063235395411034e-03,-1.223465277424095991e-02,4.245241985332516288e-01
1.527152715271527228e+01,7.547576566026429137e-03,-1.225001416662022460e-02,4.227123362376882798e-01
1.527352735273527351e+01,7.523059427020744629e-03,-1.226535897113320214e-02,4.208987827551248229e-01
1.527552755275527474e+01,7.498511886686628006e-03,-1.228068461863831944e-02,4.190835453412222189e-01
