tempo,posizione,velocita,input
1.604560456045604511e+01,-3.731195521513113161e-04,4.259070573091053129e-03,7.128623507076459198e-01
1.604760476047604811e+01,-3.645734437355423771e-04,3.608402106226840829e-03,-1.371551321790957623e+00
1.604960496049605112e+01,-3.593489408150818756e-04,1.996868444259981834e-03,-2.253312015580559713e-01
1.605160516051605057e+01,-3.554803689146847486e-04,2.035522151065719074e-03,2.444152759934993258e-01
1.605360536053605358e+01,-3.505888223241337390e-04,3.103615981599427281e-03,7.776130066979924926e-01
1.605560556055605659e+01,-3.411561569362168544e-04,6.975878159346101878e-03,3.062301229489111432e+00
1.605760576057605604e+01,-3.239413664369380922e-04,8.933970388525901835e-03,-7.895733558955764231e-01
1.605960596059605905e+01,-3.077357362770966444e-04,7.261087362870724191e-03,-7.442263243033636622e-01
1.606160616061606206e+01,-2.953719951624458320e-04,4.818340070380375956e-03,-1.528741508968749718e+00
1.606360636063606506e+01,-2.869078347349379460e-04,4.591447969544867370e-03,1.371388766781786339e+00
1.606560656065606452e+01,-2.761127162905557472e-04,5.697431589951075168e-03,-2.255815837566603754e-01
1.606760676067606752e+01,-2.641804670653709526e-04,6.709603001305399980e-03,1.279046581538787031e+00
1.606960696069607053e+01,-2.496738115341065232e-04,7.298624013946564473e-03,-7.503377768356842559e-01
1.607160716071606998e+01,-2.353787571354661479e-04,7.285515106864136683e-03,7.211276120676811674e-01
1.607360736073607299e+01,-2.205560868059955857e-04,7.193740519109133834e-03,-7.510257325645813831e-01
1.607560756075607600e+01,-2.077549030996580885e-04,5.514389903986037685e-03,-7.901793742727485359e-01
1.607760776077607900e+01,-1.972405643091387263e-04,5.601939143642761104e-03,9.992319046072353217e-01
1.607960796079607846e+01,-1.858466109932454277e-04,4.973849915733906044e-03,-1.576484307198096069e+00
1.608160816081608147e+01,-1.777312968893848041e-04,3.825035912396839138e-03,4.968881473852952979e-01
1.608360836083608447e+01,-1.689521918742453786e-04,5.024031197818283438e-03,7.336662462412804064e-01
1.608560856085608393e+01,-1.581061100626593246e-04,5.574086372922808751e-03,-1.573459841123563407e-01
1.608760876087608693e+01,-1.466404653312919370e-04,6.215218388496642626e-03,8.506152396012343075e-01
1.608960896089608994e+01,-1.326003691655522647e-04,7.787045847648126420e-03,8.056135289073149686e-01
